EMPLOYEE_ID,FIRST_NAME,LAST_NAME,GENDER,JOB_TITLE,DEPARTMENT,SALARY,EMAIL
1,Kevina,Bugbee,Female,VP Quality Control,Research and Development,109358,kbugbee0@businesswire.com
2,Gusty,Stannering,Polygender,Accountant II,Product Management,23486,gstannering1@mediafire.com
3,Asa,Shearmer,Male,VP Sales,Product Management,47553,ashearmer2@google.cn
4,Elvina,Brownlee,Female,Civil Engineer,Engineering,107863,ebrownlee3@seesaa.net
5,Linet,Douse,Female,Help Desk Technician,Services,24129,ldouse4@jimdo.com
6,Augustina,Grummitt,Female,Nurse Practicioner,Engineering,61215,agrummitt5@constantcontact.com
7,Maryjo,Rosita,Female,Sales Representative,Research and Development,90855,mrosita6@archive.org
8,Chucho,Barens,Male,Staff Accountant III,Research and Development,30302,cbarens7@blogspot.com
9,Shaylyn,Erlam,Female,Administrative Assistant IV,Sales,108950,serlam8@networksolutions.com
10,Desmund,Marlowe,Male,Tax Accountant,Services,28397,dmarlowe9@admin.ch
11,Adriena,McClaughlin,Female,Staff Accountant IV,Engineering,47413,amcclaughlina@google.it
12,Bondon,Chittock,Male,Research Associate,Legal,99013,bchittockb@independent.co.uk
13,Ailey,Cothey,Female,Geological Engineer,Marketing,71228,acotheyc@lulu.com
14,Ellswerth,Bourbon,Male,Compensation Analyst,Business Development,31934,ebourbond@wikipedia.org
15,Michal,Stud,Female,GIS Technical Architect,Services,135742,mstude@spotify.com
16,Tyne,Fenck,Female,VP Quality Control,Marketing,121874,tfenckf@vkontakte.ru
17,Jazmin,Mallinder,Female,Engineer IV,Services,135006,jmallinderg@sciencedirect.com
18,Amerigo,Rohan,Male,Environmental Tech,Human Resources,79665,arohanh@cafepress.com
19,Wernher,Free,Male,Help Desk Technician,Legal,62020,wfreei@com.com
20,Wallis,Clare,Female,Accounting Assistant III,Accounting,139531,wclarej@feedburner.com
21,Andy,Cuffley,Male,Health Coach III,Product Management,76369,acuffleyk@cyberchimps.com
22,Homer,Hamstead,Male,Social Worker,Services,123911,hhamsteadl@icq.com
23,Marissa,Goldup,Female,Information Systems Manager,Sales,132129,mgoldupm@geocities.com
24,Lorrie,Habbes,Male,Nurse Practicioner,Legal,65481,lhabbesn@unesco.org
